gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2844198225	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/114786648	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.427713	-84.009817	100.0						2016-01-31T00:00:00	31	1	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.114786648				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:31.964Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843330584	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/135022374	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Monteverde		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.320623	-84.819729	25.0						2017-02-24T00:00:00	24	2	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.135022374				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:28.343Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843010121	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/132838266	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Talamanca		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.6392	-82.6926	30.0						2016-12-14T00:00:00	14	12	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.132838266				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.110Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842953648	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/141988089	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Cahuita NP		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.734058	-82.829655	25.0						2017-07-23T00:00:00	23	7	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.141988089				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:32.883Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842937313	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/134434308	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.451341	-84.068396	25.0						2017-02-08T00:00:00	8	2	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.134434308				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:05.160Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842846925	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185164743	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.419612	-84.024081	999.0						2015-04-06T00:00:00	6	4	2015	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.185164743				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:08.285Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842781201	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/113631574	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.428538	-84.008581	10.0						2015-07-30T00:00:00	30	7	2015	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.113631574				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:11.485Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842287014	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/113468510	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Monteverde		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.322379	-84.823574	25.0						2015-12-29T00:00:00	29	12	2015	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.113468510				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:17.528Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841342272	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/115578111	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Pococí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.203371	-83.778269	10.0						2016-02-28T00:00:00	28	2	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.115578111				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:11.563Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840950390	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/74197688	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.430791	-84.005889	10.0						2013-02-12T00:00:00	12	2	2013	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.74197688				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:40.853Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
