gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1580489834	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7012897	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.913983	-84.794209	210.0						2017-06-19T11:49:00	19	6	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	7012897		Chris Rohrer	2017-07-22T02:11:45	CC_BY_NC_4_0	Gordon Karre	Gordon Karre			2020-11-08T17:06:34.775Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1572363557	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6921780	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.964112	-84.802094	1953.0						2017-06-19T14:21:00	19	6	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	6921780		Richard Joyce	2017-07-09T00:13:10	CC_BY_4_0	Chris Rohrer	Chris Rohrer			2020-11-08T16:52:48.087Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1563419457	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6278539	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.692162	-83.68969							2013-02-03T11:50:10	3	2	2013	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	6278539		rjq	2017-05-30T16:30:31	CC_BY_NC_4_0	Don Lipmanson	Don Lipmanson			2020-11-08T16:52:47.229Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1563416710	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://inaturalist.ca/observations/5409334	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.213889	-83.58694	12536.0						2017-03-16T00:00:00	16	3	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5409334		Mike Leveille	2017-03-20T16:14:21	CC_BY_NC_4_0	Mike Leveille	Mike Leveille			2020-11-08T17:06:40.915Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
1563414944	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/2976083	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.636271	-82.710078							2016-04-19T00:00:00	19	4	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	2976083		KuKuLa	2016-04-19T20:35:17	CC_BY_NC_4_0	KuKuLa	KuKuLa			2020-11-08T16:52:39.318Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
1563414349	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1705419	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.338593	-83.80418	31241.0						2013-09-06T00:00:00	6	9	2013	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	1705419		Cesar Pollo	2015-06-29T15:47:35	CC_BY_NC_4_0	Cesar Pollo	Cesar Pollo			2020-11-08T17:06:53.168Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500355357	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/753780	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.728796	-82.823668	13127.0						2014-01-11T11:49:19	11	1	2014	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	753780		Trent Pearce	2014-06-25T18:57:58	CC_BY_NC_4_0	Trent Pearce	Trent Pearce			2020-11-08T17:06:51.939Z		GEODETIC_DATUM_ASSUMED_WGS84
1500345829	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6056674	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.726597	-82.821093	2357.0						2013-07-31T13:00:00	31	7	2013	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	6056674		Richard Joyce	2017-05-03T04:03:01	CC0_1_0	Tony Wood	Tony Wood			2020-11-08T17:07:17.739Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500345794	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6055367	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.70849	-83.646334	5378.0						2013-07-18T05:58:00	18	7	2013	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	6055367		Richard Joyce	2017-05-03T04:04:14	CC0_1_0	Tony Wood	Tony Wood			2020-11-08T17:06:36.545Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500316309	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5963095	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.380018	-84.605366	1032.0						2016-04-20T23:24:52	20	4	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5963095		bryanto	2017-04-26T18:01:19	CC_BY_NC_4_0	Tracey Prothro	Tracey Prothro			2020-11-08T17:06:28.080Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
